eu_sdg,table,table_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2008,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2009,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2010,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2011,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2012,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2013,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2014,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2015,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2016,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2017,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2018,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2019,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2020,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,EL,Greece,2021,,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,ES,Spain,2000,0.113,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,ES,Spain,2001,0.09,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,ES,Spain,2002,0.103,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,ES,Spain,2003,0.093,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,ES,Spain,2004,0.102,
06_50,PO4_MG_L,Phosphate in rivers,MG_L,mg PO4 per litre,ES,Spain,2005,0.125,
